relative_day,AR_Mean,AR_Median,AR_Min,AR_Max,AR_t_stat,AR_p_value,AR_w_stat,AR_w_p_value,AR_Positive_Ratio,AR_Negative_Ratio,AR_Binom_p_value_Positive,AR_Binom_p_value_Negative,CAR_Mean,CAR_Median,CAR_Min,CAR_Max,CAR_t_stat,CAR_p_value,CAR_w_stat,CAR_w_p_value,CAR_Positive_Ratio,CAR_Negative_Ratio,CAR_Binom_p_value_Positive,CAR_Binom_p_value_Negative
-3,0.0016141835924262486,-0.0014298660159486,-0.0344261347575294,0.0998075964486971,0.5370771789137087,0.5936953378543034,598.0,0.8902414071082241,0.46938775510204084,0.5306122448979592,0.7754496546815659,0.7754496546815659,0.0016141835924262486,-0.0014298660159486,-0.0344261347575294,0.0998075964486971,0.5370771789137087,0.5936953378543034,598.0,0.8902414071082241,0.46938775510204084,0.5306122448979592,0.7754496546815659,0.7754496546815659
-2,-0.0016601499208670147,-0.0022184477851682,-0.0508919169603562,0.0757680973424736,-0.5226136194387333,0.6036471216799488,495.0,0.24690004936483234,0.3877551020408163,0.6122448979591837,0.15240777196147803,0.15240777196147803,-4.5966328440763424e-05,-0.0025594710102639,-0.0701521469411278,0.1031187982646191,-0.010830142485692489,0.9914038540941119,487.0,0.21578718136627728,0.3673469387755102,0.6326530612244898,0.08543313315739454,0.08543313315739454
-1,-0.0011964436998803973,-0.0031925661654668,-0.1053043431820136,0.0736368452718123,-0.34398767125297214,0.7323579581552828,506.0,0.29451181685393735,0.32653061224489793,0.673469387755102,0.021294114141387155,0.021294114141387155,-0.0012424100283211813,-0.0073635264746529,-0.0626937154474484,0.1225525247601532,-0.24173435862681913,0.810015778774466,417.0,0.051847060201104966,0.3877551020408163,0.6122448979591837,0.15240777196147803,0.15240777196147803
0,-0.0019507879390409939,-0.0039442213384113,-0.031801961567039,0.0559932844816614,-0.9405055072786623,0.35166755543137396,436.0,0.07993439259183432,0.3469387755102041,0.6530612244897959,0.04438416098714981,0.04438416098714981,-0.0031931979673621718,-0.0095012861923332,-0.0616631799171951,0.162177100580235,-0.5567675585454117,0.5802730648088026,387.0,0.02428323383880837,0.3469387755102041,0.6530612244897959,0.04438416098714981,0.04438416098714981
1,0.006485229841924995,-0.0021154264218345,-0.0245614536585788,0.1067342748638374,2.0103561799923972,0.050030503069940384,486.0,0.21210233030761216,0.46938775510204084,0.5306122448979592,0.7754496546815659,0.7754496546815659,0.0032920318745628197,-0.0040041517197504,-0.0745703332391008,0.2109663375044548,0.45060209870853307,0.6543052282431383,563.0,0.6288763398793691,0.40816326530612246,0.5918367346938775,0.2528697301676033,0.2528697301676033
2,-0.003149712993676327,-0.004504034449982,-0.052243061073466,0.0453436584324076,-1.3068179756326588,0.19750104505651292,450.0,0.10752609014286207,0.3877551020408163,0.6122448979591837,0.15240777196147803,0.15240777196147803,0.00014231888088648222,-0.0094868219907996,-0.1019722865107825,0.1587232764309888,0.02026059451112594,0.983919478503656,534.0,0.44118856037852794,0.3877551020408163,0.6122448979591837,0.15240777196147803,0.15240777196147803
3,0.00014229839134059885,-0.0005719056434986,-0.0473592135682903,0.0948123369196298,0.04307409001795848,0.9658211606900557,532.0,0.4295217962518727,0.3877551020408163,0.6122448979591837,0.15240777196147803,0.15240777196147803,0.00028461727222705213,-0.0038323063651539,-0.1260778962688988,0.1464675877918901,0.037263728163767315,0.9704292741376785,594.0,0.8591677938270941,0.46938775510204084,0.5306122448979592,0.7754496546815659,0.7754496546815659
4,0.0018213944759759818,0.0006485391049015,-0.0458412490334482,0.0493302523898759,0.6864075827656596,0.49575873213772825,539.0,0.47112163676217733,0.5102040816326531,0.4897959183673469,1.0,1.0,0.002106011748203036,-0.0011562409227059,-0.1306888977332611,0.1379232839107114,0.25243557455315835,0.8017822731877988,603.0,0.9293119985947342,0.4897959183673469,0.5102040816326531,1.0,1.0
5,0.005186221453579668,0.0032971724828713,-0.023236547668679,0.109036578560751,1.7023252698383757,0.09516322518463552,487.0,0.21578718136627728,0.5306122448979592,0.46938775510204084,0.7754496546815659,0.7754496546815659,0.007292233201782719,-0.0032753670343946,-0.1369308523219325,0.174801641031236,0.754363472757391,0.45431612919712294,552.0,0.5538396037751809,0.4897959183673469,0.5102040816326531,1.0,1.0
